Unnamed: 0,名称,类别,类型,申报单位,保护单位,Longitude,Latitude,Converted_Longitude,Converted_Latitude
2792,蒙古包营造技艺,传统技艺,新增项目,内蒙古自治区西乌珠穆沁旗,西乌珠穆沁旗文化旅游事业发展中心,117.616377,44.59380291,117.6031219,44.58588183
2793,蒙古包营造技艺,传统技艺,新增项目,内蒙古自治区陈巴尔虎旗,陈巴尔虎旗文化馆,119.4304625,49.33491429,119.4161215,49.32669481
2794,蒙古包营造技艺,传统技艺,扩展项目,青海省黄南藏族自治州河南蒙古族自治县,河南蒙古族自治县文化馆,101.6224734,34.74039607,101.6143208,34.73571933
2795,黎族船型屋营造技艺,传统技艺,新增项目,海南省东方市,东方市文化馆,,,,
2796,哈萨克族毡房营造技艺,传统技艺,新增项目,新疆维吾尔自治区塔城地区,伊犁哈萨克自治州塔城地区非物质文化遗产保护研究中心,81.33053775,43.92272314,81.32095136,43.91554823
2797,俄罗斯族民居营造技艺,传统技艺,新增项目,新疆维吾尔自治区塔城地区,塔城市文化馆,82.99267647,46.75462073,82.98285961,46.74813271
2798,撒拉族篱笆楼营造技艺,传统技艺,新增项目,青海省循化撒拉族自治县,循化撒拉族自治县文化馆,102.4953853,35.85666722,102.4871854,35.85066277
2799,藏族碉楼营造技艺,传统技艺,新增项目,四川省丹巴县,丹巴县文化馆,101.8964371,30.8847698,101.8885178,30.88118156
2800,碉楼营造技艺（羌族碉楼营造技艺）,传统技艺,扩展项目,四川省汶川县,汶川县文化馆,103.5875857,31.47830316,103.5790788,31.47454631
2801,碉楼营造技艺（羌族碉楼营造技艺）,传统技艺,扩展项目,四川省茂县,茂县文化馆,103.8642845,31.69298081,103.85553,31.68963249
2802,碉楼营造技艺（藏族碉楼营造技艺）,传统技艺,扩展项目,青海省班玛县,班玛县文化馆,100.7436046,32.93850393,100.7355668,32.93495166
2803,越窑青瓷烧制技艺,传统技艺,新增项目,浙江省上虞市,绍兴上虞三雄陶瓷有限公司,120.8745099,30.03824297,120.8639191,30.0348157
2804,越窑青瓷烧制技艺,传统技艺,新增项目,浙江省杭州市,杭州市西湖区贵山窑陶瓷艺术研究室,120.0768972,30.27841481,120.065485,30.27500565
